,timestamp,open,high,low,close,ema_short,ema_long,atr,adx
0,2025-01-20 01:46:00,21590.0,21594.0,21588.5,21592.75,21586.27,21582.76,3.1647,30.61
1,2025-01-20 01:48:00,21592.75,21593.0,21590.25,21591.0,21588.25,21584.34,3.0744,33.21
2,2025-01-20 01:50:00,21592.75,21594.5,21592.25,21593.0,21589.92,21585.82,2.9774,35.11
3,2025-01-20 01:52:00,21594.75,21604.75,21594.75,21604.0,21593.43,21588.17,3.4665,38.32
4,2025-01-20 01:54:00,21602.25,21603.5,21597.0,21598.0,21595.79,21590.25,3.8346,41.44
5,2025-01-20 01:56:00,21596.25,21602.0,21596.0,21600.75,21596.86,21591.7,3.9339,42.49
6,2025-01-20 01:58:00,21601.5,21603.25,21600.0,21600.5,21598.41,21593.35,3.8895,44.1
7,2025-01-20 02:00:00,21598.0,21598.5,21593.5,21595.0,21597.58,21593.84,3.9927,41.59
8,2025-01-20 02:02:00,21595.0,21596.75,21593.5,21595.75,21596.8,21594.11,3.907,38.38
9,2025-01-20 02:04:00,21596.5,21596.5,21589.25,21589.75,21595.26,21593.87,4.2348,35.12
10,2025-01-20 02:06:00,21587.75,21591.75,21586.0,21590.25,21593.1,21593.06,4.4601,31.17
11,2025-01-20 02:08:00,21589.5,21589.75,21587.75,21589.75,21591.89,21592.48,4.2042,27.88
12,2025-01-20 02:10:00,21590.5,21596.25,21589.5,21595.75,21592.52,21592.66,4.2896,25.62
13,2025-01-20 02:12:00,21596.0,21598.0,21592.75,21596.5,21593.87,21593.28,4.2892,24.74
14,2025-01-20 02:14:00,21596.75,21599.0,21594.0,21597.5,21594.98,21593.91,4.3374,23.85
15,2025-01-20 02:16:00,21599.0,21601.25,21596.0,21599.75,21596.58,21594.86,4.3636,23.29
16,2025-01-20 02:18:00,21598.5,21599.25,21596.0,21596.0,21596.85,21595.31,4.2931,23.12
17,2025-01-20 02:20:00,21596.75,21598.75,21596.0,21597.75,21596.97,21595.63,4.0805,22.33
18,2025-01-20 02:22:00,21596.5,21598.75,21596.25,21598.0,21597.06,21595.9,3.8628,22.03
19,2025-01-20 02:24:00,21597.25,21599.5,21596.75,21599.25,21597.53,21596.31,3.6432,22.03
20,2025-01-20 02:26:00,21597.75,21598.25,21594.0,21596.0,21597.22,21596.38,3.5941,20.66
21,2025-01-20 02:28:00,21592.75,21593.75,21590.0,21593.25,21595.71,21595.8,3.7151,20.64
22,2025-01-20 02:30:00,21592.0,21592.0,21589.5,21590.0,21594.01,21594.98,3.5656,21.66
23,2025-01-20 02:32:00,21596.0,21599.25,21595.25,21597.75,21595.08,21595.31,3.9073,19.51
24,2025-01-20 02:34:00,21595.75,21598.75,21595.25,21597.0,21595.53,21595.48,3.818,18.28
25,2025-01-20 02:36:00,21598.25,21607.25,21598.0,21606.5,21598.12,21596.69,4.1186,19.56
26,2025-01-20 02:38:00,21609.0,21609.75,21607.0,21607.5,21601.66,21598.65,3.9798,23.46
27,2025-01-20 02:40:00,21604.5,21606.75,21603.25,21606.0,21602.9,21599.76,3.9966,24.04
28,2025-01-20 02:42:00,21607.5,21609.5,21607.0,21609.5,21604.92,21601.27,3.807,25.32
29,2025-01-20 02:44:00,21608.5,21608.5,21607.0,21607.25,21605.88,21602.37,3.7048,27.51
30,2025-01-20 02:46:00,21609.75,21615.5,21609.5,21615.0,21608.32,21604.12,3.8552,30.44
31,2025-01-20 02:48:00,21615.25,21616.0,21613.25,21615.75,21611.0,21606.14,3.7858,34.03
32,2025-01-20 02:50:00,21615.0,21621.5,21614.5,21617.75,21612.95,21607.91,3.9633,37.78
33,2025-01-20 02:52:00,21622.0,21624.75,21621.0,21624.0,21616.57,21610.52,4.0666,42.03
34,2025-01-20 02:54:00,21628.25,21631.25,21626.75,21630.25,21621.09,21613.73,4.2258,46.63
35,2025-01-20 02:56:00,21625.75,21626.5,21621.75,21625.75,21622.61,21615.74,4.414,47.8
36,2025-01-20 02:58:00,21625.0,21625.25,21621.75,21622.75,21622.98,21617.12,4.3379,47.42
37,2025-01-20 03:00:00,21621.25,21623.0,21620.75,21621.5,21622.41,21617.86,4.1663,44.65
38,2025-01-20 03:02:00,21608.5,21610.75,21605.5,21607.75,21617.33,21616.21,4.9126,41.15
39,2025-01-20 03:04:00,21611.25,21617.0,21609.5,21617.0,21616.33,21615.89,5.2524,36.39
40,2025-01-20 03:06:00,21619.5,21633.5,21618.5,21632.5,21620.15,21617.74,6.048,34.43
41,2025-01-20 03:08:00,21634.75,21637.75,21630.0,21634.75,21625.37,21620.67,6.1001,34.27
42,2025-01-20 03:10:00,21633.0,21637.25,21631.75,21635.75,21628.67,21623.06,6.0671,33.75
43,2025-01-20 03:12:00,21630.0,21634.75,21629.5,21634.75,21630.06,21624.68,6.1038,32.22
44,2025-01-20 03:14:00,21630.0,21631.0,21622.5,21625.5,21629.26,21625.25,6.1686,29.29
45,2025-01-20 03:16:00,21631.75,21634.5,21627.5,21628.5,21629.5,21626.09,6.2831,26.02
46,2025-01-20 03:18:00,21621.25,21625.75,21620.25,21624.75,21627.11,21625.5,6.6064,24.6
47,2025-01-20 03:20:00,21628.75,21633.0,21627.25,21631.0,21628.19,21626.29,6.6708,21.65
48,2025-01-20 03:22:00,21627.5,21628.0,21623.75,21626.25,21627.77,21626.43,6.47,19.22
49,2025-01-20 03:24:00,21629.75,21632.0,21627.5,21628.0,21628.29,21626.93,6.3147,17.01
50,2025-01-20 03:26:00,21622.5,21624.25,21619.5,21620.75,21625.78,21625.96,6.3147,16.42
51,2025-01-20 03:28:00,21614.0,21614.5,21607.25,21607.5,21620.28,21623.31,6.6425,18.45
52,2025-01-20 03:30:00,21601.5,21603.25,21588.5,21602.5,21613.72,21619.62,7.5438,22.91
53,2025-01-20 03:32:00,21601.75,21609.0,21600.25,21608.75,21610.89,21617.2,7.6602,25.99
54,2025-01-20 03:34:00,21606.0,21607.5,21595.25,21598.75,21607.76,21614.63,7.9277,28.03
55,2025-01-20 03:36:00,21605.0,21612.5,21602.25,21612.25,21608.3,21613.66,8.1813,29.38
56,2025-01-20 03:38:00,21610.25,21615.75,21610.0,21615.0,21609.95,21613.5,7.7966,28.81
57,2025-01-20 03:40:00,21617.75,21618.25,21615.75,21616.75,21612.52,21614.13,7.2494,26.86
58,2025-01-20 03:42:00,21611.25,21612.25,21604.0,21606.5,21611.27,21613.28,7.3209,27.08
59,2025-01-20 03:44:00,21607.0,21609.0,21604.0,21609.0,21610.21,21612.41,6.9846,28.12
60,2025-01-20 03:46:00,21613.75,21615.0,21612.25,21613.75,21611.37,21612.58,6.7163,26.87
61,2025-01-20 03:48:00,21615.0,21620.0,21614.25,21620.0,21613.71,21613.48,6.6827,25.86
62,2025-01-20 03:50:00,21617.0,21617.5,21612.0,21612.5,21613.92,21613.64,6.6027,24.1
63,2025-01-20 03:52:00,21613.0,21617.0,21609.0,21614.5,21613.93,21613.68,6.5299,23.49
64,2025-01-20 03:54:00,21615.0,21617.5,21614.75,21615.75,21614.42,21613.96,6.1916,22.57
65,2025-01-20 03:56:00,21617.0,21617.25,21612.25,21614.25,21614.84,21614.26,5.9113,22.16
66,2025-01-20 03:58:00,21617.75,21618.75,21615.5,21618.75,21616.05,21614.93,5.7769,21.52
67,2025-01-20 04:00:00,21619.0,21620.0,21616.0,21617.0,21616.79,21615.5,5.5487,20.2
68,2025-01-20 04:02:00,21613.0,21615.0,21611.5,21615.0,21615.83,21615.25,5.6147,21.45
69,2025-01-20 04:04:00,21619.5,21625.5,21618.75,21624.5,21618.23,21616.48,5.7047,19.46
70,2025-01-20 04:06:00,21620.0,21628.75,21617.75,21627.75,21620.46,21617.82,6.1191,18.42
71,2025-01-20 04:08:00,21627.0,21632.5,21626.0,21631.5,21623.83,21619.88,5.9395,18.68
72,2025-01-20 04:10:00,21631.25,21631.5,21625.25,21626.75,21625.6,21621.45,5.7998,18.55
73,2025-01-20 04:12:00,21629.0,21629.0,21626.25,21629.0,21626.87,21622.78,5.4473,17.5
74,2025-01-20 04:14:00,21626.75,21629.25,21626.5,21628.5,21627.29,21623.69,5.1421,16.17
75,2025-01-20 04:16:00,21620.25,21624.5,21619.75,21623.25,21625.44,21623.41,5.3534,16.19
76,2025-01-20 04:18:00,21617.5,21622.75,21615.5,21620.5,21623.14,21622.63,5.5649,17.63
77,2025-01-20 04:20:00,21627.25,21630.5,21625.25,21625.25,21624.1,21623.19,5.6873,15.89
78,2025-01-20 04:22:00,21625.75,21629.0,21622.75,21622.75,21624.13,21623.38,5.6488,14.36
79,2025-01-20 04:24:00,21619.75,21621.25,21619.5,21621.0,21622.89,21622.91,5.3273,14.28
